Name,Irrigated.Area,Water.Withdrawal,Year
Coleambally,68694,445673,97.98
Jemalong,14940,62795,97.98
Murray,0,1045658,97.98
Murrumbridge,180000,949935,97.98
West Corurgan,21000,84372,97.98
Barker-Barambah,8650,,97.98
Boyne River,3265,,97.98
Bundaberg,59200,144352,97.98
Burdekin River,47846,430002,97.98
Condamine,11500,,97.98
Dawson,7529,40089,97.98
Emerald,23509,168760,97.98
Eton,15000,37711,97.98
Logan,3996,,97.98
Lower Mary River,6190,20337,97.98
Mareeba-Dimbulah,22140,119044,97.98
Pioneer Valley,0,12111,97.98
Prosperine,11250,,97.98
South Burdekin,13428,67472,97.98
St George,17289,60697,97.98
Warrill,8170,,97.98
Central Irrig.,11000,87000,97.98
Golden Heights,723,6029,97.98
Lower Murray,0,,97.98
Sunlands,794,6700,97.98
Cressy-Longford,2000,6182,97.98
Southeast (Tas),1373,2490,97.98
Winnaleah,1226,4844,97.98
First Mildura,6667,51077,97.98
G-MW Murray Valley,81410,342612,97.98
G-MW Shepparton,54140,211352,97.98
G_MW Cent. Goulburn,119592,472618,97.98
G-MW Rochester,66730,263233,97.98
G-MW Pyramid - Boort,109018,277672,97.98
G-MW Torrumbarry,130152,479173,97.98
G-MW Nyah,1035,6196,97.98
G-MW Tresco,884,4946,97.98
G-MW Woorinen,0,6522,97.98
Bacchus Marsh,1300,4520,97.98
Macalister,37387,133000,97.98
Werribee,3010,11212,97.98
Sunraysia,10672,102410,97.98
Wimmera-Mallee,0,19584,97.98
Carnarvon,950,2450,97.98
Old River,13000,180000,97.98
South West (WA),9780,81176,97.98
Coleambally,73143,497892,2002.2003
Euston,1603,8236,2002.2003
Jemalong,,99865,2002.2003
Murray Irrigation,112652,1479000,2002.2003
Murrumbidgee,107682,1193370,2002.2003
West Corurgan,9669,161556,2002.2003
Western Murray,3825,61268,2002.2003
Trangie Nevertire,1571,68901,2002.2003
SW Barker-Barambah,8590,33022,2002.2003
SW Bowen Broken,0,5736,2002.2003
SW Boyne River,3255,13284,2002.2003
SW Bundaberg,59200,181238,2002.2003
SW Burdekin-Haughton,45838,608521,2002.2003
SW Callide Valley,,18943,2002.2003
SW Central Lockyer,,3977,2002.2003
SW Chinchilla Weir,,2867,2002.2003
SW Cunnamulla,,2476,2002.2003
SW Dawson Valley,7500,52962,2002.2003
SW Eton Water,14500,50802,2002.2003
SW Julius Dam,,0,2002.2003
SW Logan River,3996,13538,2002.2003
SW Lower Fitzroy,,,2002.2003
SW Lower Lockyer,,11204,2002.2003
SW Macintyre Brook,,23715,2002.2003
SW Maranoa River,,798,2002.2003
SW Mareeba-Dimbulah,20000,152072,2002.2003
SW Mary River,6190,41104,2002.2003
SW Nogoa Mackenzie,24643,167682,2002.2003
SW Pioneer River,,46448,2002.2003
SW Proserpine,7800,38197,2002.2003
SW St George,12000,71763,2002.2003
SW Three Moon Creek,,14695,2002.2003
SW Upper Burnett,3440,31394,2002.2003
SW Upper Condamine,7500,30402,2002.2003
SW Warrill Valley,8170,20502,2002.2003
Pioneer Valley,14850,46414,2002.2003
North Burdekin,26012,180000,2002.2003
South Burdekin,16100,0,2002.2003
Angas Bremer,7509,34504,2002.2003
Southeast Region (SA),,718685,2002.2003
Central Irrigation,13511,155751,2002.2003
Golden Heights,778,8335,2002.2003
Lower Murray,3091,0,2002.2003
Renmark,,0,2002.2003
Sunlands,796,8949,2002.2003
Barossa Valley Area,7656,10304,2002.2003
Cressy-Longford,3861,8299,2002.2003
Southeast (TAS),1685,3426,2002.2003
Winnaleah,1378,3370,2002.2003
First Mildura,6400,83270,2002.2003
G-MW Murray Valley,48846,273657,2002.2003
G-MW Shepparton,43981,191452,2002.2003
G-MW Central Goulburn,94482,455660,2002.2003
G-MW Rochester,46826,231827,2002.2003
G-MW Pyramid-Boort,59675,231664,2002.2003
G-MW Torrumbarry,91000,352109,2002.2003
G-MW Swan Hill Pumped,4899,31352,2002.2003
G-MW River Diverters,53583,705872,2002.2003
SRW Bacchus Marsh,1396,3975,2002.2003
SRW Macalister,36100,124226,2002.2003
SRW Werribee,2812,15466,2002.2003
Sunraysia - System,11130,100060,2002.2003
Sunraysia - Diverters,35815,230412,2002.2003
Wimmera-Mallee,0,197840,2002.2003
Gascoyne Irrigation,1000,10350,2002.2003
Ord Irrigation,13000,335000,2002.2003
Harvey Water,9840,108736,2002.2003