Water.Withdrawal,Irrigated.Area
139,52
0.6,1.4
5670,1090
5940,3510
28900,9480
12700,3310
28,19
48,66
0,0
3470,2130
722,1150
652,136
13000,3010
180,359
116,241
39,158
3380,3090
12,32
769,810
27,27
62,74
82,40
227,354
157,401
1740,1370
567,786
8550,1810
7550,7450
1640,560
6.3,8.6
125,99
2990,959
30,47
239,167
117,196
27,59
864,560
6170,1840
16,23
23,7.1
52,23
269,301
24,63
9450,6310
3530,1140
3.9,3.8
30,69
6470,2120
0,2.8
169,331
6590,1990
107,38
0,0